Request_id,Pickup_point,Driver_id,Status,Request_date,Request_time,Drop_date,Drop_time
1,Airport,285,Trip Completed,11/7/2016,12:20:00 AM,11/7/2016,12:51:00 AM
2,Airport,NA,No Cars Available,11/7/2016,12:23:00 AM,NA,NA
3,Airport,80,Trip Completed,11/7/2016,12:24:00 AM,11/7/2016,1:31:00 AM
4,City,NA,No Cars Available,11/7/2016,12:37:00 AM,NA,NA
5,Airport,264,Trip Completed,11/7/2016,12:36:00 AM,11/7/2016,1:35:00 AM
6,City,NA,No Cars Available,11/7/2016,12:36:00 AM,NA,NA
7,Airport,NA,No Cars Available,11/7/2016,12:30:00 AM,NA,NA
8,City,NA,No Cars Available,11/7/2016,12:40:00 AM,NA,NA
9,Airport,235,Trip Completed,11/7/2016,12:45:00 AM,11/7/2016,2:00:00 AM
10,City,228,Trip Completed,11/7/2016,12:54:00 AM,11/7/2016,1:59:00 AM
11,City,198,Trip Completed,11/7/2016,1:00:00 AM,11/7/2016,1:53:00 AM
12,City,NA,No Cars Available,11/7/2016,1:08:00 AM,NA,NA
13,City,119,Trip Completed,11/7/2016,1:08:00 AM,11/7/2016,1:58:00 AM
14,Airport,NA,No Cars Available,11/7/2016,1:10:00 AM,NA,NA
15,City,NA,No Cars Available,11/7/2016,1:15:00 AM,NA,NA
16,Airport,NA,No Cars Available,11/7/2016,1:09:00 AM,NA,NA
17,Airport,NA,No Cars Available,11/7/2016,1:16:00 AM,NA,NA
18,City,201,Cancelled,11/7/2016,1:16:00 AM,NA,NA
19,City,NA,No Cars Available,11/7/2016,1:14:00 AM,NA,NA
20,Airport,NA,No Cars Available,11/7/2016,1:23:00 AM,NA,NA
21,Airport,194,Trip Completed,11/7/2016,1:29:00 AM,11/7/2016,2:05:00 AM
22,Airport,NA,No Cars Available,11/7/2016,1:40:00 AM,NA,NA
23,City,NA,No Cars Available,11/7/2016,1:38:00 AM,NA,NA
24,Airport,NA,No Cars Available,11/7/2016,1:48:00 AM,NA,NA
25,Airport,NA,No Cars Available,11/7/2016,1:45:00 AM,NA,NA
26,Airport,NA,No Cars Available,11/7/2016,1:49:00 AM,NA,NA
27,Airport,NA,No Cars Available,11/7/2016,1:49:00 AM,NA,NA
28,City,NA,No Cars Available,11/7/2016,2:02:00 AM,NA,NA
29,City,NA,No Cars Available,11/7/2016,1:55:00 AM,NA,NA
30,Airport,297,Trip Completed,11/7/2016,2:04:00 AM,11/7/2016,2:37:00 AM
31,City,NA,No Cars Available,11/7/2016,2:10:00 AM,NA,NA
32,Airport,NA,No Cars Available,11/7/2016,2:15:00 AM,NA,NA
33,Airport,170,Trip Completed,11/7/2016,2:17:00 AM,11/7/2016,3:31:00 AM
34,City,78,Trip Completed,11/7/2016,2:20:00 AM,11/7/2016,3:34:00 AM
35,City,107,Trip Completed,11/7/2016,2:36:00 AM,11/7/2016,3:03:00 AM
36,City,NA,No Cars Available,11/7/2016,2:33:00 AM,NA,NA
37,Airport,NA,No Cars Available,11/7/2016,2:34:00 AM,NA,NA
38,City,NA,No Cars Available,11/7/2016,2:39:00 AM,NA,NA
39,Airport,NA,No Cars Available,11/7/2016,2:48:00 AM,NA,NA
40,Airport,NA,No Cars Available,11/7/2016,2:42:00 AM,NA,NA
41,City,109,Trip Completed,11/7/2016,2:47:00 AM,11/7/2016,3:23:00 AM
42,Airport,NA,No Cars Available,11/7/2016,2:55:00 AM,NA,NA
43,City,NA,No Cars Available,11/7/2016,3:06:00 AM,NA,NA
44,Airport,NA,No Cars Available,11/7/2016,3:07:00 AM,NA,NA
45,Airport,12,Trip Completed,11/7/2016,3:17:00 AM,11/7/2016,4:09:00 AM
46,Airport,NA,No Cars Available,11/7/2016,3:16:00 AM,NA,NA
47,City,124,Trip Completed,11/7/2016,3:22:00 AM,11/7/2016,4:35:00 AM
48,City,150,Trip Completed,11/7/2016,3:14:00 AM,11/7/2016,4:19:00 AM
49,Airport,NA,No Cars Available,11/7/2016,3:29:00 AM,NA,NA
50,City,100,Trip Completed,11/7/2016,3:22:00 AM,11/7/2016,3:57:00 AM
51,City,86,Trip Completed,11/7/2016,3:34:00 AM,11/7/2016,4:33:00 AM
52,City,NA,No Cars Available,11/7/2016,3:30:00 AM,NA,NA
53,Airport,95,Trip Completed,11/7/2016,3:30:00 AM,11/7/2016,4:22:00 AM
54,City,NA,No Cars Available,11/7/2016,3:34:00 AM,NA,NA
55,Airport,NA,No Cars Available,11/7/2016,3:41:00 AM,NA,NA
56,City,NA,No Cars Available,11/7/2016,3:58:00 AM,NA,NA
57,City,NA,No Cars Available,11/7/2016,3:52:00 AM,NA,NA
58,Airport,NA,No Cars Available,11/7/2016,4:03:00 AM,NA,NA
59,City,NA,No Cars Available,11/7/2016,3:58:00 AM,NA,NA
60,City,141,Trip Completed,11/7/2016,3:57:00 AM,11/7/2016,4:46:00 AM
61,Airport,NA,No Cars Available,11/7/2016,4:05:00 AM,NA,NA
62,Airport,NA,No Cars Available,11/7/2016,4:10:00 AM,NA,NA
63,Airport,NA,No Cars Available,11/7/2016,4:17:00 AM,NA,NA
64,City,52,Trip Completed,11/7/2016,4:16:00 AM,11/7/2016,5:28:00 AM
65,Airport,NA,No Cars Available,11/7/2016,4:23:00 AM,NA,NA
66,City,255,Trip Completed,11/7/2016,4:21:00 AM,11/7/2016,4:54:00 AM
67,Airport,NA,No Cars Available,11/7/2016,4:24:00 AM,NA,NA
68,Airport,NA,No Cars Available,11/7/2016,4:27:00 AM,NA,NA
69,Airport,NA,No Cars Available,11/7/2016,4:27:00 AM,NA,NA
70,City,80,Trip Completed,11/7/2016,4:34:00 AM,11/7/2016,5:30:00 AM
71,City,NA,No Cars Available,11/7/2016,4:37:00 AM,NA,NA
72,City,NA,No Cars Available,11/7/2016,4:36:00 AM,NA,NA
73,Airport,NA,No Cars Available,11/7/2016,4:36:00 AM,NA,NA
74,Airport,239,Trip Completed,11/7/2016,4:38:00 AM,11/7/2016,5:44:00 AM
75,Airport,NA,No Cars Available,11/7/2016,4:40:00 AM,NA,NA
76,City,158,Cancelled,11/7/2016,4:45:00 AM,NA,NA
